V	alpha=0.0
0.5	-0.12941674188942176
0.5100502512562815	-0.1316507716523856
0.5201005025125628	-0.13387864664167012
0.5301507537688442	-0.13610050227446246
0.5402010050251256	-0.1383164684805507
0.550251256281407	-0.14052667002254654
0.5603015075376885	-0.14273122679191758
0.5703517587939698	-0.14493025408305837
0.5804020100502513	-0.14712386284738693
0.5904522613065326	-0.14931215992924288
0.6005025125628141	-0.15149524828517835
0.6105527638190955	-0.15367322718806856
0.6206030150753769	-0.15584619241732584
0.6306532663316583	-0.15801423643637227
0.6407035175879396	-0.16017744855841423
0.6507537688442211	-0.16233591510146048
0.6608040201005025	-0.16448971953343802
0.6708542713567839	-0.16663894260817833
0.6809045226130653	-0.1687836624929767
0.6909547738693467	-0.17092395488836332
0.7010050251256281	-0.1730598931406684
0.7110552763819096	-0.1751915483479112
0.721105527638191	-0.17731898945949814
0.7311557788944724	-0.17944228337017323
0.7412060301507537	-0.18156149500862578
0.7512562814070352	-0.18367668742112858
0.7613065326633166	-0.1857879218505473
0.771356783919598	-0.18789525781103478
0.7814070351758794	-0.18999875315870005
0.7914572864321607	-0.19209846415851659
0.8015075376884422	-0.19419444554771603
0.8115577889447236	-0.19628675059589348
0.8216080402010051	-0.19837543116203352
0.8316582914572864	-0.20046053774865039
0.8417085427135678	-0.20254211955322157
0.8517587939698492	-0.20462022451708034
0.8618090452261307	-0.20669489937192223
0.8718592964824121	-0.20876618968406743
0.8819095477386935	-0.2108341398966118
0.8919597989949749	-0.21289879336959205
0.9020100502512562	-0.21496019241827685
0.9120603015075377	-0.21701837834969365
0.9221105527638191	-0.2190733914974908
0.9321608040201005	-0.2211252712552268
0.9422110552763819	-0.22317405610817492
0.9522613065326633	-0.22521978366372405
0.9623115577889447	-0.22726249068045273
0.9723618090452262	-0.22930221309594614
0.9824120603015075	-0.23133898605342385
0.992462311557789	-0.23337284392724084
1.0025125628140703	-0.23540382034731927
1.0125628140703518	-0.2374319482225678
1.0226130653266332	-0.2394572597633383
1.0326633165829144	-0.2414797865029701
1.042713567839196	-0.2434995593184666
1.0527638190954773	-0.24551660845034642
1.0628140703517588	-0.24753096352171206
1.0728643216080402	-0.24954265355657085
1.0829145728643215	-0.25155170699744683
1.0929648241206031	-0.2535581517223159
1.1030150753768844	-0.25556201506089665
1.1130653266331658	-0.25756332381032776
1.1231155778894473	-0.25956210425025805
1.1331658291457285	-0.26155838215737937
1.1432160804020102	-0.26355218281942566
1.1532663316582914	-0.26554353104866235
1.1633165829145728	-0.26753245119489
1.1733668341708543	-0.2695189671579828
1.1834170854271355	-0.2715031023999825
1.1934673366834172	-0.27348487995676785
1.2035175879396984	-0.27546432244931646
1.2135678391959799	-0.2774414520945792
1.2236180904522613	-0.27941629071598034
1.2336683417085426	-0.2813888597535612
1.2437185929648242	-0.28335918027378276
1.2537688442211055	-0.2853272729789992
1.263819095477387	-0.28729315821661816
1.2738693467336684	-0.2892568559879594
1.2839195979899498	-0.2912183859568236
1.2939698492462313	-0.2931777674577846
1.3040201005025125	-0.29513501950421456
1.314070351758794	-0.29709016079605294
1.3241206030150754	-0.2990432097273304
1.3341708542713568	-0.30099418439345554
1.3442211055276383	-0.3029431025982752
1.3542713567839195	-0.30488998186091576
1.364321608040201	-0.30683483942241485
1.3743718592964824	-0.3087776922521505
1.3844221105527639	-0.31071855705407575
1.3944723618090453	-0.3126574502727667
1.4045226130653266	-0.31459438809928875
1.414572864321608	-0.31652938647689094
1.4246231155778895	-0.31846246110653126
1.434673366834171	-0.32039362745224137
1.4447236180904524	-0.3223229007463362
1.4547738693467336	-0.32425029599447264
1.464824120603015	-0.32617582798056444
1.4748743718592965	-0.32809951127155734
1.484924623115578	-0.33002136022206874
1.4949748743718594	-0.3319413889788992
1.5050251256281406	-0.3338596114854163
1.515075376884422	-0.3357760414858192
1.5251256281407035	-0.33769069252928485
1.535175879396985	-0.33960357797400215
1.5452261306532664	-0.34151471099109554
1.5552763819095476	-0.3434241045684444
1.565326633165829	-0.3453317715143995
1.5753768844221105	-0.34723772446140055
1.585427135678392	-0.34914197586949913
1.5954773869346734	-0.35104453802978813
1.605527638190955	-0.3529454230677422
1.6155778894472361	-0.35484464294647233
1.6256281407035176	-0.3567422094698957
1.635678391959799	-0.35863813428582464
1.6457286432160805	-0.3605324288889775
1.655778894472362	-0.36242510462391325
1.6658291457286432	-0.3643161726878916
1.6758793969849246	-0.366205644133663
1.685929648241206	-0.3680935298721886
1.6959798994974875	-0.36997984067529316
1.706030150753769	-0.3718645871782528
1.7160804020100502	-0.3737477798823204
1.7261306532663316	-0.37562942915718894
1.736180904522613	-0.3775095452433957
1.7462311557788945	-0.37938813825466905
1.756281407035176	-0.3812652181802195
1.7663316582914572	-0.3831407948869758
1.7763819095477387	-0.3850148781217693
1.7864321608040201	-0.38688747751346647
1.7964824120603016	-0.38875860257505174
1.806532663316583	-0.39062826270566314
1.8165829145728642	-0.3924964671925796
1.8266331658291457	-0.39436322521316336
1.8366834170854272	-0.3962285458367594
1.8467336683417086	-0.3980924380265491
1.85678391959799	-0.39995491064136496
1.8668341708542713	-0.40181597243746303
1.8768844221105527	-0.4036756320702561
1.8869346733668342	-0.4055338980960094
1.8969849246231156	-0.407390778973497
1.907035175879397	-0.4092462830656242
1.9170854271356783	-0.41110041864101293
1.9271356783919598	-0.4129531938755533
1.9371859296482412	-0.414804616853921
1.9472361809045227	-0.41665469557106466
1.9572864321608041	-0.4185034379336567
1.9673366834170853	-0.4203508517615183
1.9773869346733668	-0.42219694478901143
1.9874371859296482	-0.42404172466640183
1.9974874371859297	-0.4258851989611949
2.007537688442211	-0.4277273751594415
2.0175879396984926	-0.4295682606670188
2.027638190954774	-0.431407862810884
2.0376884422110555	-0.4332461888403015
2.0477386934673367	-0.43508324592804654
2.057788944723618	-0.4369190411715828
2.0678391959798996	-0.4387535815942179
2.077889447236181	-0.44058687414623354
2.0879396984924625	-0.4424189257059956
2.0979899497487438	-0.4442497430810396
2.108040201005025	-0.4460793330091364
2.1180904522613067	-0.4479077021593362
2.128140703517588	-0.44973485713299166
2.1381909547738696	-0.4515608044647626
2.148241206030151	-0.45338555062359776
2.158291457286432	-0.4552091020137028
2.1683417085427137	-0.4570314649754844
2.178391959798995	-0.4588526457864788
2.1884422110552766	-0.4606726506622636
2.198492462311558	-0.46249148575734916
2.208542713567839	-0.4643091571660563
2.2185929648241207	-0.46612567092337576
2.228643216080402	-0.46794103300581114
2.2386934673366836	-0.46975524933220764
2.248743718592965	-0.4715683257645644
2.258793969849246	-0.4733802681088318
2.2688442211055277	-0.47519108211569466
2.278894472361809	-0.4770007734813402
2.2889447236180906	-0.47880934784821305
2.298994974874372	-0.48061681080575536
2.309045226130653	-0.4824231678911348
2.319095477386935	-0.48422842458995863
2.329145728643216	-0.4860325863369744
2.3391959798994977	-0.4878356585167598
2.349246231155779	-0.4896376464643989
2.35929648241206	-0.49143855546614673
2.369346733668342	-0.4932383907600825
2.379396984924623	-0.4950371575367507
2.3894472361809047	-0.4968348609397917
2.399497487437186	-0.49863150606656076
2.409547738693467	-0.5004270979687372
2.419597989949749	-0.5022216416529215
2.42964824120603	-0.5040151420812238
2.4396984924623117	-0.5058076041718416
2.449748743718593	-0.5075990327996269
2.459798994974874	-0.5093894327966453
2.469849246231156	-0.5111788089527246
2.4798994974874375	-0.5129671660159936
2.4899497487437188	-0.5147545086934133
2.5	-0.516540841651299
